evaluation_id,rank,product_id,score
EVAL-93437-direct,3,B092CR81T1,0.8857653737068176
EVAL-93437-direct,4,B07C3VFRJW,0.8840768337249756
EVAL-93437-direct,5,B0793GLZWH,0.8793368339538574
EVAL-93437-direct,6,B073VH6L5P,0.8793326616287231
EVAL-93437-direct,7,B09BVVTR4H,0.8770968317985535
EVAL-93437-direct,8,B07QNTP54P,0.8759913444519043
EVAL-93437-direct,9,B07517NDRK,0.8748900294303894
EVAL-93437-direct,10,B073ZHMP25,0.8735863566398621
EVAL-93437-semantic,1,B092QVSY57,0.896438717842102
EVAL-93437-semantic,2,B07QC74LKS,0.8790521621704102
EVAL-93437-semantic,3,B07MNJKJ67,0.8782188892364502
EVAL-93437-semantic,4,B07FPF4KHR,0.8762804269790649
EVAL-93437-semantic,5,B07Q7GC5B2,0.8750398755073547
EVAL-93437-semantic,6,B06XHHRX3C,0.8739415407180786
EVAL-93437-semantic,7,B07L32V9YC,0.8737955093383789
EVAL-93437-semantic,8,B07KVKK795,0.8735480904579163
EVAL-93437-semantic,9,B07JGRT3KR,0.8709632158279419
EVAL-93437-semantic,10,B09DSS2RT7,0.8687893152236938
EVAL-96202-context,1,B092VMQZXG,0.8947272300720215
EVAL-96202-context,2,B08ZJ293FV,0.8881718516349792
EVAL-96202-context,3,B097PFV19S,0.8848401308059692
EVAL-96202-context,4,B07RR79J3Q,0.8790106773376465
EVAL-96202-context,5,B08742951P,0.8765052556991577
EVAL-96202-context,6,B07BPZGJ3B,0.875977635383606
EVAL-96202-context,7,B09D9KBVDN,0.8750344514846802
EVAL-96202-context,8,B08XYYCVBK,0.8748461008071899
EVAL-96202-context,9,B085XRDHXQ,0.8739680051803589
EVAL-96202-context,10,B0987CBW8T,0.8712597489356995
EVAL-96202-direct,1,AURUM-NEW-003,0.9113075733184814
EVAL-96202-direct,2,B09D9KBVDN,0.9088364839553833
EVAL-96202-direct,3,B09D9C9R31,0.9017399549484253
EVAL-96202-direct,4,B092VMQZXG,0.9013280868530273
EVAL-96202-direct,5,B07DPXH8VR,0.900120735168457
EVAL-96202-direct,6,B01CDJQM9S,0.8992831707000732
EVAL-96202-direct,7,B09D9HX6WR,0.8985684514045715
EVAL-96202-direct,8,B08742951P,0.8934520483016968
EVAL-96202-direct,9,B08XYYCVBK,0.8924647569656372
EVAL-96202-direct,10,B07MCV1KNJ,0.8920110464096069
EVAL-96202-semantic,1,B092VMQZXG,0.8667747974395752
EVAL-96202-semantic,2,B095HGSRKG,0.8634054660797119
EVAL-96202-semantic,3,B08742951P,0.8603510856628418
EVAL-96202-semantic,4,B09D9C9R31,0.8579526543617249
EVAL-96202-semantic,5,B08XYYCVBK,0.8578478097915649
EVAL-96202-semantic,6,B096JBH5ZR,0.8575950860977173
EVAL-96202-semantic,7,B09D99G6T2,0.856666624546051
EVAL-96202-semantic,8,B0987CBW8T,0.8564330339431763
EVAL-96202-semantic,9,B08ZJ293FV,0.8563082218170166
EVAL-96202-semantic,10,B085XRDHXQ,0.8560336828231812
